Id,SalePrice
1461,130362.550808
1462,146537.829621
1463,193064.481377
1464,182864.775759
1465,239403.027156
1466,173438.879018
1467,178939.554137
1468,182416.572388
1469,180121.539397
1470,116851.044165
1471,197773.485819
1472,96602.9280491
1473,102241.981265
1474,163166.895379
1475,157511.838261
1476,432554.06431
1477,267592.113314
1478,351746.386742
1479,296815.454812
1480,368091.187773
1481,276084.579688
1482,231608.323982
1483,182385.817385
1484,197944.583071
1485,170685.916788
1486,195724.43998
1487,335017.565676
1488,296815.454812
1489,230999.738527
1490,182385.817385
1491,187918.651549
1492,98097.4183042
1493,181122.567043
1494,283063.878582
1495,280073.096066
1496,200823.49499
1497,187918.651549
1498,170685.916788
1499,170685.916788
1500,164915.455772
1501,175225.566638
1502,169343.684048
1503,282500.510544
1504,230790.596642
1505,208791.480288
1506,174392.320427
1507,174913.598259
1508,181386.742923
1509,148727.474037
1510,153320.711521
1511,153320.711521
1512,156991.050871
1513,164546.493807
1514,149819.832738
1515,128199.707784
1516,153361.5724
1517,143055.085307
1518,163859.735996
1519,202170.490899
1520,143031.254743
1521,147553.030666
1522,164469.316555
1523,128995.827566
1524,126848.640238
1525,143769.707254
1526,130760.256874
1527,85117.3958383
1528,112257.644055
1529,144186.851939
1530,150430.29691
1531,96251.2494178
1532,73934.9241517
1533,150374.846962
1534,131528.676627
1535,111285.790054
1536,101302.966321
1537,99731.184052
1538,114582.519453
1539,201308.314267
1540,105680.598868
1541,172964.541131
1542,140515.456926
1543,176491.336935
1544,107240.766606
1545,126366.700735
1546,131680.767193
1547,111520.345528
1548,112257.644055
1549,136717.788315
1550,108990.344017
1551,158903.114031
1552,121511.756264
1553,116087.539208
1554,111615.076908
1555,146714.181675
1556,126112.475233
1557,136962.641202
1558,122487.51318
1559,108460.991159
1560,129926.132836
1561,128747.959567
1562,123441.692506
1563,133575.001977
1564,154004.140557
1565,149067.192808
1566,146307.06499
1567,82909.5282088
1568,165669.407927
1569,115047.74059
1570,129212.26124
1571,112993.610281
1572,130656.147888
1573,230999.738527
1574,176772.284691
1575,201004.62261
1576,232051.743907
1577,230999.738527
1578,113640.442488
1579,154286.419084
1580,210996.534979
1581,144801.909055
1582,128802.059434
1583,305940.478563
1584,243830.152982
1585,141180.958489
1586,71801.2558917
1587,127541.710142
1588,145012.067591
1589,140639.117588
1590,123181.413884
1591,110551.540398
1592,110316.956114
1593,148759.970997
1594,108834.588317
1595,110068.687101
1596,186004.962741
1597,151658.810155
1598,203605.201863
1599,230628.976412
1600,230628.976412
1601,81657.8298383
1602,115483.558708
1603,101942.67342
1604,231812.076386
1605,297168.603327
1606,158723.715979
1607,170184.454862
1608,202323.458998
1609,230999.738527
1610,160275.180348
1611,143869.825046
1612,167691.99637
1613,173820.288734
1614,129510.871535
1615,86204.7129761
1616,86204.7129761
1617,106928.312661
1618,129334.433146
1619,132052.100601
1620,176342.39692
1621,170167.82854
1622,144262.64329
1623,300265.77519
1624,174913.598259
1625,132725.089088
1626,181122.567043
1627,193064.481377
1628,293684.659569
1629,200265.715247
1630,278847.103983
1631,247709.91073
1632,256330.212192
1633,189263.372757
1634,182864.775759
1635,183864.369114
1636,174913.598259
1637,177084.878859
1638,187569.52938
1639,163331.474895
1640,192040.644914
1641,163331.474895
1642,233379.18481
1643,233466.036815
1644,235020.319726
1645,171248.836123
1646,178865.521907
1647,184196.15389
1648,139951.909153
1649,132366.546294
1650,116851.044165
1651,114299.160294
1652,100900.674714
1653,100114.122662
1654,161916.599785
1655,184196.15389
1656,158723.715979
1657,154472.368046
1658,154472.368046
1659,137802.004324
1660,149680.590859
1661,396169.444088
1662,422120.245138
1663,372715.1947
1664,404662.784911
1665,402252.428899
1666,305066.805577
1667,312295.13339
1668,402252.428899
1669,359504.3791
1670,402252.428899
1671,205347.499605
1672,368091.187773
1673,348159.093806
1674,242328.104671
1675,182385.817385
1676,182385.817385
1677,212522.872376
1678,360263.139584
1679,305940.478563
1680,312555.37882
1681,290495.669037
1682,270426.172461
1683,202170.490899
1684,177833.394432
1685,172224.791882
1686,173657.602051
1687,170685.916788
1688,165043.967435
1689,187918.651549
1690,172787.972215
1691,168626.681311
1692,259777.217571
1693,170685.916788
1694,175225.566638
1695,173653.136368
1696,255193.968273
1697,173653.136368
1698,285491.238849
1699,317435.972698
1700,223646.356484
1701,247043.598395
1702,288799.683955
1703,288799.683955
1704,321269.001936
1705,231608.323982
1706,385033.585568
1707,221857.269977
1708,211309.067916
1709,284415.458263
1710,231608.323982
1711,286561.462833
1712,291225.918254
1713,232828.837279
1714,202170.490899
1715,183582.202364
1716,184603.498962
1717,196208.80477
1718,146564.869468
1719,195724.43998
1720,305066.805577
1721,184185.482939
1722,136271.782601
1723,170286.802589
1724,217732.318779
1725,228802.83101
1726,178939.554137
1727,179981.148315
1728,223904.461115
1729,186076.82692
1730,126661.186808
1731,133047.699672
1732,129071.234072
1733,130362.550808
1734,128191.559738
1735,124494.325208
1736,128974.454285
1737,227449.034601
1738,189450.866172
1739,286290.745784
1740,214738.813325
1741,190684.355668
1742,175225.566638
1743,173653.136368
1744,182596.188324
1745,207154.48873
1746,224371.066856
1747,193581.148482
1748,202311.318447
1749,169924.747909
1750,146019.294327
1751,162355.671996
1752,119610.802462
1753,156272.428574
1754,213521.613956
1755,169095.720166
1756,137709.359232
1757,135626.056274
1758,143874.40268
1759,181439.252006
1760,134463.959145
1761,162224.23732
1762,161721.134963
1763,181177.447101
1764,142704.629133
1765,160460.959103
